te	present_in	distbin
ARNOLD1	1132	91-99%
ATCOPIA69	811	71-80%
VANDAL1N1	1123	91-99%
ATCOPIA71	276	21-30%
ATRE1	524	41-50%
ATENSAT2	1125	91-99%
HELITRONY1D	1096	91-99%
ATCOPIA74	605	51-60%
ATHILA5	1135	100%
ATCOPIA77	1061	91-99%
VANDAL6	1135	100%
ATREP12	1126	91-99%
ATHILA7	1135	100%
ATENSPM6	1135	100%
ATCOPIA46	565	41-50%
ATREP15	1097	91-99%
SADHU	1135	100%
ATGP1	1135	100%
ATHPOGON3	1130	91-99%
ATCOPIA86	1035	91-99%
ATCOPIA18	1097	91-99%
ATREP2A	1134	91-99%
ATLANTYS2	1135	100%
ATGP6	1135	100%
TAG2	1125	91-99%
ATLINE2	1135	100%
ATLINE1_1	1135	100%
ATCOPIA92	291	21-30%
ATCOPIA26	177	11-20%
ATMU10	702	61-70%
ATCOPIA27	1025	91-99%
ATTIR16T3A	1127	91-99%
ATCOPIA29	1135	100%
ATHATN10	1132	91-99%
VANDAL13	1005	81-90%
ATMU6N1	1119	91-99%
ATCOPIA31	642	51-60%
ATDNA2T9A	1134	91-99%
HELITRON1	1135	100%
ATMU9	542	41-50%
HELITRON2	1135	100%
ATCOPIA7	247	21-30%
ARNOLD2	1135	100%
ATHILA4	1135	100%
VANDAL20	1135	100%
ATREP1	1135	100%
ARNOLDY1	1133	91-99%
ATENSPM1	1135	100%
HELITRONY1E	1017	91-99%
ATHILA6A	1135	100%
AT9NMU1	1135	100%
ATCOPIA78	1131	91-99%
VANDAL7	1135	100%
ATREP13	1135	100%
ATENSPM7	1135	100%
ATCOPIA81	778	61-70%
ATCOPIA47	891	71-80%
ATREP16	1082	91-99%
SIMPLEGUY1	1135	100%
ATIS112A	1135	100%
ATCOPIA5	542	41-50%
ATCOPIA87	665	51-60%
ATCOPIA18A	1087	91-99%
ATREP3	1135	100%
ATGP7	1135	100%
ATCOPIA8A	1125	91-99%
TAT1_ATH	1124	91-99%
ATLINEIII	1135	100%
ATCOPIA93	1134	91-99%
ATCOPIA90	1039	91-99%
ATCOPIA94	707	61-70%
ATMU2	220	11-20%
ATCOPIA96	557	41-50%
BOMZH1	1135	100%
ATHATN2	1135	100%
ATDNA12T3A	1135	100%
VANDAL14	771	61-70%
ATMU7	1102	91-99%
ATDNA2T9B	1135	100%
ATHILA	1135	100%
ATDNA2T9C	1135	100%
ATHILA0_I	1135	100%
ATCOPIA70	1040	91-99%
VANDAL18NB	1111	91-99%
ARNOLD3	1134	91-99%
ATHILA4A	1135	100%
VANDAL21	1135	100%
ATREP10	1131	91-99%
ATENSPM10	1135	100%
ATCOPIA76	395	31-40%
HELITRONY2	1124	91-99%
ATHILA6B	1135	100%
ATCOPIA79	847	71-80%
VANDAL8	1135	100%
ATCOPIA11	372	31-40%
ATREP14	1124	91-99%
ATENSPM9	1135	100%
ATCOPIA48	730	61-70%
ATCOPIA14	1058	91-99%
ATREP17	1	0-10%
SIMPLEHAT1	1135	100%
ATLANTYS1	1135	100%
ATCOPIA88	1015	91-99%
ATGP5	1128	91-99%
ATCOPIA19	1135	100%
ATREP4	1121	91-99%
ATGP8	1100	91-99%
TNAT1A	1103	91-99%
ATCOPIA22	790	61-70%
ATMU1	1088	91-99%
ATCOPIA57	1135	100%
ATCOPIA28	1127	91-99%
ATREPX1	1128	91-99%
ATMU3	1117	91-99%
ATCOPIA97	1131	91-99%
BOMZH2	1054	91-99%
ATHATN3	999	81-90%
VANDAL15	1055	91-99%
ATCOPIA32	314	21-30%
ATMU8	1087	91-99%
ATCOPIA32B	1129	91-99%
HELITRON3	998	81-90%
ATCOPIA34	1134	91-99%
ATHILA3	1135	100%
HELITRONY1A	1005	81-90%
ARNOLD4	1131	91-99%
ATCOPIA72	613	51-60%
VANDAL22	1133	91-99%
ATCOPIA38B	489	41-50%
ATREP10A	1126	91-99%
ATENSPM11	201	11-20%
HELITRONY3	1029	91-99%
ATCOPIA1	1121	91-99%
ATREP10D	1054	91-99%
ATCOPIA80	223	11-20%
VANDAL9	1118	91-99%
ATCOPIA12	1134	91-99%
ATHILA8B	1135	100%
ATCOPIA83	885	71-80%
ATCOPIA49	998	81-90%
ATCOPIA15	1135	100%
SIMPLEHAT2	1135	100%
ATGP2N	1135	100%
ATCOPIA51	650	51-60%
ATCOPIA89	416	31-40%
ATCOPIA2	720	61-70%
ATREP5	1133	91-99%
ATCOPIA21	503	41-50%
ATGP9B	1128	91-99%
TNAT2A	1122	91-99%
ATREP7	1130	91-99%
TSCL	1130	91-99%
ATCOPIA95	1135	100%
ATMU4	1125	91-99%
ATCOPIA6	655	51-60%
ATCOPIA3	488	41-50%
BRODYAGA1	807	71-80%
ATMU6	1056	91-99%
ATHATN3A	1106	91-99%
VANDAL16	1056	91-99%
EVD	617	51-60%
VANDAL17	1135	100%
ATDNAI26T9	1126	91-99%
HELITRON4	1133	91-99%
ATCOPIA35	1086	91-99%
HELITRON5	939	81-90%
ATENSAT1	856	71-80%
ATHILA4C	1135	100%
ATCOPIA38	1113	91-99%
VANDAL2N1	1135	100%
ATREP10B	975	81-90%
VANDAL3	1135	100%
ATENSPM1A	1135	100%
HELITRONY3A	518	41-50%
ATHILA7A	1135	100%
LIMPET1	1134	91-99%
MI167_AT	0	0-10%
VANDALNX1	1047	91-99%
ATCOPIA13	841	71-80%
ATGP10	1131	91-99%
ATCOPIA84	1037	91-99%
ATREP19	356	31-40%
ATGP3	1026	91-99%
TA11	1129	91-99%
ATLANTYS3	1069	91-99%
ATCOPIA52	761	61-70%
TA12	0	0-10%
ATCOPIA8B	525	41-50%
ATREP6	1073	91-99%
ATHAT1	1135	100%
ATREP8	1119	91-99%
VANDAL1	1135	100%
ATHAT3	961	81-90%
VANDAL10	190	11-20%
VANDAL11	1135	100%
VANDAL12	1135	100%
ATCOPIA60	264	21-30%
ATCOPIA62	942	81-90%
BRODYAGA1A	1113	91-99%
ATHATN5	879	71-80%
BRODYAGA2	1134	91-99%
VANDAL18	363	31-40%
ATMUN1	1059	91-99%
ATDNAI27T9A	1076	91-99%
ATHILA2	1135	100%
ATCOPIA67	1135	100%
ATCOPIA37	1133	91-99%
ATCOPIA73	1086	91-99%
HELITRONY1C	675	51-60%
ARNOLDY2	1128	91-99%
ATCOPIA38A	468	41-50%
VANDAL4	1135	100%
ATREP10C	1129	91-99%
ATENSPM2	1135	100%
ATREP11A	1016	91-99%
META1	1135	100%
ATHILA8A	1135	100%
VANDALNX2	0	0-10%
ROMANIAT5	1134	91-99%
ATHPOGON1	1057	91-99%
ATCOPIA85	321	21-30%
ATGP2	1135	100%
ATCOPIA50	629	51-60%
ATCOPIA16	923	81-90%
ATCOPIA17	371	31-40%
ATCOPIA53	307	21-30%
ATCOPIA64	320	21-30%
ATLINE1_2	269	21-30%
TA1-2	1132	91-99%
ATCOPIA91	1094	91-99%
ATCOPIA56	879	71-80%
ATCOPIA23	797	71-80%
ATCOPIA59	1094	91-99%
ATCOPIA58	1135	100%
ATHAT7	1104	91-99%
ATCOPIA25	297	21-30%
ATCOPIA30	1132	91-99%
ATCOPIA61	1130	91-99%
ATDNA1T9A	1135	100%
ATCOPIA39	119	11-20%
ATCOPIA31A	263	21-30%
ATCOPIA65	828	71-80%
ATCOPIA66	1135	100%
VANDAL18NA	1128	91-99%
ATMUN2	1087	91-99%
ATHATN7	712	61-70%
ATNSPM11	194	11-20%
HELITRONY1B	862	71-80%
ATHILA4B_LTR	1131	91-99%
ATDNAI27T9C	1129	91-99%
AT9MU1	532	41-50%
ATCOPIA75	608	51-60%
ATCOPIA43	1131	91-99%
ATCOPIA40	1120	91-99%
AT9TSD1	1121	91-99%
ATCOPIA10	1132	91-99%
ATREP18	1094	91-99%
ATCOPIA42	1135	100%
ATHPOGO	606	51-60%
ATCOPIA44	1124	91-99%
ATREP2	1135	100%
ATCOPIA45	431	31-40%
ATCOPIA24	1133	91-99%
ATMU5	1130	91-99%
TA1_AT	1107	91-99%
ATCOPIA9	800	71-80%
ENDOVIR1	954	81-90%
ATCOPIA63	1128	91-99%
ATREP9	1011	81-90%
ATHAT10	1135	100%
ATCOPIA33	1126	91-99%
TAG1	199	11-20%
ATCOPIA68	1111	91-99%
ATHILA4D_LTR	1135	100%
ATHAT2	1135	100%
ATDNAI27T9B	1131	91-99%
ATREP11	1133	91-99%
VANDAL5	1135	100%
HARBINGER	951	81-90%
ATENSPM5	1135	100%
ATN9_1	1132	91-99%
ATCOPIA65A	214	11-20%
ATCOPIA82	1079	91-99%
ATCOPIA36	1135	100%
ATCOPIA55	193	11-20%
ATDNA12T3_2	1135	100%
ATCOPIA4	891	71-80%
VANDAL5A	1128	91-99%
ATENSPM4	1126	91-99%
ATENSPM3	1082	91-99%
ATHILA0	1081	91-99%
ATHATN6	1133	91-99%
ATLINE1_5	1135	100%
ATCOPIA54	1082	91-99%
ATCOPIA41	1135	100%
ATLINE1A	1135	100%
